"Metabolite","Dilution","Concentration","ChromIntensities","OwnBorderIntensities","Batch_Id"
"Putrescine_(3TMS)_BP_RI:1507_IDENT:A+D",0.1,-99,-99,-99,"e18057cz"
"Putrescine_(3TMS)_BP_RI:1507_IDENT:A+D",0.2,1241.696157,978620,NA,"e18057cz"
"Putrescine_(3TMS)_BP_RI:1507_IDENT:A+D",0.5,3104.2403925,1780618,NA,"e18057cz"
"Putrescine_(3TMS)_BP_RI:1507_IDENT:A+D",1,6208.480785,2225871,NA,"e18057cz"
"Methionine_(2TMS)_MP_RI:1516_IDENT:C+D",0.005,-99,-99,-99,"e18057cz"
"Methionine_(2TMS)_MP_RI:1516_IDENT:C+D",0.01,-99,-99,-99,"e18057cz"
"Methionine_(2TMS)_MP_RI:1516_IDENT:C+D",0.02,134.0392735,557044,NA,"e18057cz"
"Methionine_(2TMS)_MP_RI:1516_IDENT:C+D",0.05,335.09818375,1343180,NA,"e18057cz"
"Methionine_(2TMS)_MP_RI:1516_IDENT:C+D",0.1,670.1963675,2810626,NA,"e18057cz"
"Methionine_(2TMS)_MP_RI:1516_IDENT:C+D",0.2,1340.392735,11755995,NA,"e18057cz"
"Methionine_(2TMS)_MP_RI:1516_IDENT:C+D",0.5,-99,-99,-99,"e18057cz"
"Methionine_(2TMS)_MP_RI:1516_IDENT:C+D",1,6701.963675,50524693,NA,"e18057cz"
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C",0.005,-99,-99,-99,"e18057cz"
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C",0.01,-99,-99,-99,"e18057cz"
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C",0.02,300.503343,274734,NA,"e18057cz"
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C",0.05,751.2583575,962069,NA,"e18057cz"
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C",0.1,1502.516715,2515497,NA,"e18057cz"
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C",0.2,3005.03343,12454367,NA,"e18057cz"
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C",0.5,7512.583575,44189205,NA,"e18057cz"
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C",1,15025.16715,50482837,NA,"e18057cz"
"Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D",0.005,464.68401485,4664306,NA,"e18057cz"
"Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D",0.01,929.3680297,8521712,NA,"e18057cz"
"Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D",0.02,1858.7360594,19430323,NA,"e18057cz"
"Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D",0.05,4646.8401485,46207432,NA,"e18057cz"
"Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D",0.1,9293.680297,86800783,NA,"e18057cz"
"Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D",0.2,18587.360594,193039410,NA,"e18057cz"
"Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D",0.5,46468.401485,580630890,NA,"e18057cz"
"Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D",1,92936.80297,1191778100,NA,"e18057cz"
"Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B",0.005,-99,-99,-99,"e18057cz"
"Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B",0.01,-99,-99,-99,"e18057cz"
"Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B",0.02,-99,-99,-99,"e18057cz"
"Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B",0.05,450.0450045,1462776,NA,"e18057cz"
"Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B",0.1,900.090009,4388034,NA,"e18057cz"
"Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B",0.2,1800.180018,10854180,NA,"e18057cz"
"Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B",0.5,4500.450045,33692164,NA,"e18057cz"
"Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B",1,9000.90009,69450493,NA,"e18057cz"
"Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C",0.005,48.48719938,394114,NA,"e18057cz"
"Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C",0.01,96.97439876,634322,NA,"e18057cz"
"Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C",0.02,193.94879752,1243195,NA,"e18057cz"
"Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C",0.05,484.8719938,2481003,NA,"e18057cz"
"Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C",0.1,969.7439876,4352715,NA,"e18057cz"
"Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C",0.2,1939.4879752,7743159,NA,"e18057cz"
"Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C",0.5,4848.719938,22084332,NA,"e18057cz"
"Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C",1,9697.439876,45488963,NA,"e18057cz"
"Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B",0.005,679.671039,251945,NA,"e18057cz"
"Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B",0.01,1359.342078,426633,NA,"e18057cz"
"Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B",0.02,2718.684156,1004891,NA,"e18057cz"
"Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B",0.05,6796.71039,2979772,NA,"e18057cz"
"Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B",0.1,13593.42078,6173117,NA,"e18057cz"
"Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B",0.2,27186.84156,11234060,NA,"e18057cz"
"Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B",0.5,67967.1039,10519600,NA,"e18057cz"
"Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B",1,135934.2078,22056972,NA,"e18057cz"
"Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C",0.005,-99,-99,-99,"e18057cz"
"Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C",0.01,484.2908166,21157572,NA,"e18057cz"
"Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C",0.02,968.5816332,23407066,NA,"e18057cz"
"Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C",0.05,2421.454083,26798319,NA,"e18057cz"
"Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C",0.1,4842.908166,34719029,NA,"e18057cz"
"Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C",0.2,9685.816332,51171236,NA,"e18057cz"
"Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C",0.5,24214.54083,61603425,NA,"e18057cz"
"Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C",1,48429.08166,60482701,NA,"e18057cz"
"Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C",0.005,-99,-99,-99,"e18057cz"
"Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C",0.01,-99,-99,-99,"e18057cz"
"Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C",0.02,-99,-99,-99,"e18057cz"
"Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C",0.05,-99,-99,-99,"e18057cz"
"Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C",0.1,-99,-99,-99,"e18057cz"
"Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C",0.2,8840.169732,9322217,NA,"e18057cz"
"Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C",0.5,22100.42433,27314673,NA,"e18057cz"
"Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C",1,44200.84866,52081952,NA,"e18057cz"
"Serine_(4TMS)_BP_RI:1571_IDENT:C+D",0.005,-99,-99,-99,"e18057cz"
"Serine_(4TMS)_BP_RI:1571_IDENT:C+D",0.01,-99,-99,-99,"e18057cz"
"Serine_(4TMS)_BP_RI:1571_IDENT:C+D",0.02,-99,-99,-99,"e18057cz"
"Serine_(4TMS)_BP_RI:1571_IDENT:C+D",0.05,-99,-99,-99,"e18057cz"
"Serine_(4TMS)_BP_RI:1571_IDENT:C+D",0.1,-99,-99,-99,"e18057cz"
"Serine_(4TMS)_BP_RI:1571_IDENT:C+D",0.2,22837.5678,307028,NA,"e18057cz"
"Serine_(4TMS)_BP_RI:1571_IDENT:C+D",0.5,57093.9195,1387549,NA,"e18057cz"
"Serine_(4TMS)_BP_RI:1571_IDENT:C+D",1,114187.839,4116903,NA,"e18057cz"
"Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D",0.005,286.3390254,391943,NA,"e18057cz"
"Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D",0.01,572.6780508,662138,NA,"e18057cz"
"Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D",0.02,1145.3561016,1575802,NA,"e18057cz"
"Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D",0.05,2863.390254,4935169,NA,"e18057cz"
"Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D",0.1,5726.780508,8109441,NA,"e18057cz"
"Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D",0.2,11453.561016,17379368,NA,"e18057cz"
"Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D",0.5,28633.90254,46507289,NA,"e18057cz"
"Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D",1,57267.80508,87746071,NA,"e18057cz"
"Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C",0.005,-99,-99,-99,"e18057cz"
"Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C",0.01,342.2313484,651758,NA,"e18057cz"
"Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C",0.02,684.4626968,1987104,NA,"e18057cz"
"Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C",0.05,1711.156742,5166043,NA,"e18057cz"
"Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C",0.1,3422.313484,10711516,NA,"e18057cz"
"Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C",0.2,6844.626968,25399444,NA,"e18057cz"
"Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C",0.5,17111.56742,68944183,NA,"e18057cz"
"Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C",1,34223.13484,130136269,NA,"e18057cz"
"Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B",0.005,-99,-99,-99,"e18057cz"
"Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B",0.01,-99,-99,-99,"e18057cz"
"Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B",0.02,-99,-99,-99,"e18057cz"
"Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B",0.05,-99,-99,-99,"e18057cz"
"Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B",0.1,0.1,236423,NA,"e18057cz"
"Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B",0.2,0.2,414804,NA,"e18057cz"
"Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B",0.5,0.5,2224940,NA,"e18057cz"
"Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B",1,1,4748622,NA,"e18057cz"
"Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C",0.005,91.61704075,353290,NA,"e18057cz"
"Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C",0.01,183.2340815,860901,NA,"e18057cz"
"Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C",0.02,366.468163,1880420,NA,"e18057cz"
"Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C",0.05,916.1704075,4198708,NA,"e18057cz"
"Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C",0.1,1832.340815,8008920,NA,"e18057cz"
"Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C",0.2,3664.68163,14377523,NA,"e18057cz"
"Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C",0.5,9161.704075,28614887,NA,"e18057cz"
"Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C",1,18323.40815,46089083,NA,"e18057cz"
"Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D",0.005,-99,-99,-99,"e18057cz"
"Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D",0.01,-99,-99,-99,"e18057cz"
"Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D",0.02,300.7131196,1433837,NA,"e18057cz"
"Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D",0.05,751.782799,4251815,NA,"e18057cz"
"Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D",0.1,1503.565598,9756005,NA,"e18057cz"
"Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D",0.2,3007.131196,22736725,NA,"e18057cz"
"Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D",0.5,7517.82799,62299703,NA,"e18057cz"
"Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D",1,15035.65598,118108200,NA,"e18057cz"
"Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B",0.005,-99,-99,-99,"e18057cz"
"Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B",0.01,1359.342078,404256,NA,"e18057cz"
"Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B",0.02,2718.684156,1316293,NA,"e18057cz"
"Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B",0.05,6796.71039,5231235,NA,"e18057cz"
"Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B",0.1,13593.42078,15386291,NA,"e18057cz"
"Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B",0.2,27186.84156,51789593,NA,"e18057cz"
"Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B",0.5,67967.1039,205410214,NA,"e18057cz"
"Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B",1,135934.2078,428186566,NA,"e18057cz"
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D",0.005,-99,-99,-99,"e18057cz"
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D",0.01,-99,-99,-99,"e18057cz"
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D",0.02,-99,-99,-99,"e18057cz"
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D",0.05,1135.331517,944877,NA,"e18057cz"
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D",0.1,2270.663034,2452400,NA,"e18057cz"
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D",0.2,4541.326068,8243160,NA,"e18057cz"
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D",0.5,11353.31517,42450244,NA,"e18057cz"
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D",1,22706.63034,85358258,NA,"e18057cz"
"Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D",0.005,37.27726832,1146974,NA,"e18057cz"
"Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D",0.01,74.55453664,1963825,NA,"e18057cz"
"Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D",0.02,149.10907328,3889340,NA,"e18057cz"
"Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D",0.05,372.7726832,10076441,NA,"e18057cz"
"Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D",0.1,745.5453664,18847535,NA,"e18057cz"
"Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D",0.2,1491.0907328,26710993,NA,"e18057cz"
"Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D",0.5,3727.726832,52317826,NA,"e18057cz"
"Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D",1,7455.453664,68189029,NA,"e18057cz"
"Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D",0.005,31.042403925,218070,NA,"e18057cz"
"Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D",0.01,62.08480785,469960,NA,"e18057cz"
"Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D",0.02,124.1696157,804718,NA,"e18057cz"
"Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D",0.05,310.42403925,2941606,NA,"e18057cz"
"Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D",0.1,620.8480785,5744442,NA,"e18057cz"
"Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D",0.2,1241.696157,8265637,NA,"e18057cz"
"Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D",0.5,3104.2403925,22453170,NA,"e18057cz"
"Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D",1,6208.480785,45955708,NA,"e18057cz"
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B",0.005,-99,-99,-99,"e18057cz"
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B",0.01,881.8342152,229856,NA,"e18057cz"
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B",0.02,1763.6684304,674568,NA,"e18057cz"
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B",0.05,4409.171076,908469,NA,"e18057cz"
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B",0.1,8818.342152,1840985,NA,"e18057cz"
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B",0.2,17636.684304,778694,NA,"e18057cz"
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B",0.5,44091.71076,1184748,NA,"e18057cz"
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B",1,88183.42152,1166087,NA,"e18057cz"
"Glycerol-3-phosphate_(4TMS)_MP_RI:1756_IDENT:B+C",0.005,-99,-99,-99,"e18057cz"
"Glycerol-3-phosphate_(4TMS)_MP_RI:1756_IDENT:B+C",0.01,-99,-99,-99,"e18057cz"
"Glycerol-3-phosphate_(4TMS)_MP_RI:1756_IDENT:B+C",0.02,539.9276496,398724,NA,"e18057cz"
"Glycerol-3-phosphate_(4TMS)_MP_RI:1756_IDENT:B+C",0.05,1349.819124,1121441,NA,"e18057cz"
"Glycerol-3-phosphate_(4TMS)_MP_RI:1756_IDENT:B+C",0.1,2699.638248,1832689,NA,"e18057cz"
"Glycerol-3-phosphate_(4TMS)_MP_RI:1756_IDENT:B+C",0.2,5399.276496,4720319,NA,"e18057cz"
"Glycerol-3-phosphate_(4TMS)_MP_RI:1756_IDENT:B+C",0.5,13498.19124,15453450,NA,"e18057cz"
"Glycerol-3-phosphate_(4TMS)_MP_RI:1756_IDENT:B+C",1,26996.38248,32084980,NA,"e18057cz"
"Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D",0.005,-99,-99,-99,"e18057cz"
"Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D",0.01,-99,-99,-99,"e18057cz"
"Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D",0.02,2737.10141,922168,NA,"e18057cz"
"Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D",0.05,6842.753525,5685689,NA,"e18057cz"
"Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D",0.1,13685.50705,32461240,NA,"e18057cz"
"Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D",0.2,27371.0141,82845003,NA,"e18057cz"
"Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D",0.5,68427.53525,316253779,NA,"e18057cz"
"Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D",1,136855.0705,578658066,NA,"e18057cz"
"Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D",0.005,260.2540079,640395,NA,"e18057cz"
"Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D",0.01,520.5080158,1229941,NA,"e18057cz"
"Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D",0.02,1041.0160316,2689972,NA,"e18057cz"
"Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D",0.05,2602.540079,8318494,NA,"e18057cz"
"Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D",0.1,5205.080158,18007119,NA,"e18057cz"
"Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D",0.2,10410.160316,42204575,NA,"e18057cz"
"Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D",0.5,26025.40079,129193960,NA,"e18057cz"
"Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D",1,52050.80158,268746068,NA,"e18057cz"
"Lysine_(3TMS)_BP_RI:1849_IDENT:A+C",0.005,-99,-99,-99,"e18057cz"
"Lysine_(3TMS)_BP_RI:1849_IDENT:A+C",0.01,-99,-99,-99,"e18057cz"
"Lysine_(3TMS)_BP_RI:1849_IDENT:A+C",0.02,410.621407,432070,NA,"e18057cz"
"Lysine_(3TMS)_BP_RI:1849_IDENT:A+C",0.05,1026.5535175,1093505,NA,"e18057cz"
"Lysine_(3TMS)_BP_RI:1849_IDENT:A+C",0.1,2053.107035,1326876,NA,"e18057cz"
"Lysine_(3TMS)_BP_RI:1849_IDENT:A+C",0.2,4106.21407,2439143,NA,"e18057cz"
"Lysine_(3TMS)_BP_RI:1849_IDENT:A+C",0.5,10265.535175,10750779,NA,"e18057cz"
"Lysine_(3TMS)_BP_RI:1849_IDENT:A+C",1,20531.07035,5985120,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C",0.005,65.76783955,2622515,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C",0.01,131.5356791,5153020,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C",0.02,263.0713582,10744523,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C",0.05,657.6783955,61134966,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C",0.1,1315.356791,87164889,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C",0.2,2630.713582,145701054,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C",0.5,6576.783955,427105112,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C",1,13153.56791,862796306,NA,"e18057cz"
"Adenine_(2TMS)_MP_RI:1866_IDENT:C+D",0.005,-99,-99,-99,"e18057cz"
"Adenine_(2TMS)_MP_RI:1866_IDENT:C+D",0.01,-99,-99,-99,"e18057cz"
"Adenine_(2TMS)_MP_RI:1866_IDENT:C+D",0.02,-99,-99,-99,"e18057cz"
"Adenine_(2TMS)_MP_RI:1866_IDENT:C+D",0.05,-99,-99,-99,"e18057cz"
"Adenine_(2TMS)_MP_RI:1866_IDENT:C+D",0.1,-99,-99,-99,"e18057cz"
"Adenine_(2TMS)_MP_RI:1866_IDENT:C+D",0.2,1480.0562422,4312992,NA,"e18057cz"
"Adenine_(2TMS)_MP_RI:1866_IDENT:C+D",0.5,3700.1406055,14267449,NA,"e18057cz"
"Adenine_(2TMS)_MP_RI:1866_IDENT:C+D",1,7400.281211,33911052,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C",0.005,65.76783955,1889303,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C",0.01,131.5356791,3995332,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C",0.02,263.0713582,8743891,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C",0.05,657.6783955,33924467,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C",0.1,1315.356791,54704499,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C",0.2,2630.713582,105130892,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C",0.5,6576.783955,314893670,NA,"e18057cz"
"Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C",1,13153.56791,631013969,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_MP_RI:1886_IDENT:B+D",0.005,164.4195988,7955704,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_MP_RI:1886_IDENT:B+D",0.01,328.8391976,15310099,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_MP_RI:1886_IDENT:B+D",0.02,657.6783952,37619625,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_MP_RI:1886_IDENT:B+D",0.05,1644.195988,163234197,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_MP_RI:1886_IDENT:B+D",0.1,3288.391976,345593062,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_MP_RI:1886_IDENT:B+D",0.2,6576.783952,772313024,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_MP_RI:1886_IDENT:B+D",0.5,16441.95988,2129731458,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_MP_RI:1886_IDENT:B+D",1,32883.91976,3474407627,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_BP_RI:1904_IDENT:B+D",0.005,164.4195988,3879613,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_BP_RI:1904_IDENT:B+D",0.01,328.8391976,11699532,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_BP_RI:1904_IDENT:B+D",0.02,657.6783952,27526635,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_BP_RI:1904_IDENT:B+D",0.05,1644.195988,42927564,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_BP_RI:1904_IDENT:B+D",0.1,3288.391976,83576622,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_BP_RI:1904_IDENT:B+D",0.2,6576.783952,172569289,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_BP_RI:1904_IDENT:B+D",0.5,16441.95988,445275523,NA,"e18057cz"
"Glucose_(1MEOX)(5TMS)_BP_RI:1904_IDENT:B+D",1,32883.91976,829336909,NA,"e18057cz"
"Lysine_(4TMS)_MP_RI:1915_IDENT:A+C",0.005,-99,-99,-99,"e18057cz"
"Lysine_(4TMS)_MP_RI:1915_IDENT:A+C",0.01,205.3107035,481621,NA,"e18057cz"
"Lysine_(4TMS)_MP_RI:1915_IDENT:A+C",0.02,410.621407,1324074,NA,"e18057cz"
"Lysine_(4TMS)_MP_RI:1915_IDENT:A+C",0.05,1026.5535175,3606321,NA,"e18057cz"
"Lysine_(4TMS)_MP_RI:1915_IDENT:A+C",0.1,2053.107035,10373545,NA,"e18057cz"
